paper,expset_accession,condition,dataset_label,biosource,biosample_type,biosample_category,tissue,treatments_summary,modifications_summary,assay_target,imaging_rounds,num_bio_reps,bio_rep_idx,trace_core_file_accession,trace_core_url,all_fofct_types,readout_resolution,region_size,cell_type_detail,treatment_detail
Cheng_2023_PMID36778402,4DNES6SPZBS6,"GFP over-expression, Control (for CHD7 OE)",Multiplexed FISH in A549-Cas9 on Chr22,A549,immortalized cells,immortalized cell line,A549,None,Viral Transduction and Viral Transduction,multiplexed FISH,5,1,1,4DNFIBI97KHO,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/dd3e0aae-9868-4ace-81fe-a1c9f8c0ffef/4DNFIBI97KHO.csv,FOF-CT - DNA-spot/trace core (csv),TAD-level,Chr22 (27 TADs),A549,None
Cheng_2023_PMID36778402,4DNES5UHPM9B,CHD7 over-expression,Multiplexed FISH in A549-Cas9 on Chr22,A549,immortalized cells,immortalized cell line,A549,None,Viral Transduction and Viral Transduction for CHD7 gene,multiplexed FISH,5,1,1,4DNFIEIQN2CR,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/babf2c65-c268-418d-880b-3c5bb9ad2bb0/4DNFIEIQN2CR.csv,FOF-CT - DNA-spot/trace core (csv),TAD-level,Chr22 (27 TADs),A549,None
Cheng_2023_PMID36778402,4DNESDOIAUSY,sgNon-Targeting Control (for siCHD7),Multiplexed FISH in A549-Cas9 on Chr22,A549,immortalized cells,immortalized cell line,A549,None,Viral Transduction and Viral Transduction,multiplexed FISH,5,1,1,4DNFIPL3924X,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/0a026a3e-00f4-4720-af70-931c6970c15a/4DNFIPL3924X.csv,FOF-CT - DNA-spot/trace core (csv),TAD-level,Chr22 (27 TADs),A549,None
Cheng_2023_PMID36778402,4DNES1S6LQKZ,siCHD7 targeted knocked-down,Multiplexed FISH in A549-Cas9 on Chr22,A549,immortalized cells,immortalized cell line,A549,None,Viral Transduction and Viral Transduction deletion for CHD7 gene,multiplexed FISH,5,1,1,4DNFI6HEE4U3,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/39035b71-ebfc-46aa-96fb-9aca8da4cae1/4DNFI6HEE4U3.csv,FOF-CT - DNA-spot/trace core (csv),TAD-level,Chr22 (27 TADs),A549,None
Cheng_2023_PMID36778402,4DNESNWDMERJ,sgNon-Targeting Control (for sgZNF114),Multiplexed FISH in A549-Cas9 on Chr22,A549,immortalized cells,immortalized cell line,A549,None,Viral Transduction and Viral Transduction,multiplexed FISH,5,1,1,4DNFICAK73AG,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/58964c47-2334-4b7e-9421-88a75c4ebd0d/4DNFICAK73AG.csv,FOF-CT - DNA-spot/trace core (csv),TAD-level,Chr22 (27 TADs),A549,None
Cheng_2023_PMID36778402,4DNES6RGJOMK,sgZNF114 targeted knockdown,Multiplexed FISH in A549-Cas9 on Chr22,A549,immortalized cells,immortalized cell line,A549,None,Viral Transduction and Viral Transduction deletion for ZNF114 gene,multiplexed FISH,5,1,1,4DNFIL6ZVN4W,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/db807b0b-ffcc-4033-b48a-ab56ba04bf63/4DNFIL6ZVN4W.csv,FOF-CT - DNA-spot/trace core (csv),TAD-level,Chr22 (27 TADs),A549,None
Cheng_2023_PMID36778402,4DNESYSJOREU,sgNon-Targeting Control (for sgPCBP1),Multiplexed FISH in A549-Cas9 on Chr22,A549,immortalized cells,immortalized cell line,A549,None,Viral Transduction and Viral Transduction,multiplexed FISH,5,1,1,4DNFI4WY31CZ,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/181e623e-9507-4940-997a-0b7ae68cfe2e/4DNFI4WY31CZ.csv,FOF-CT - DNA-spot/trace core (csv),TAD-level,Chr22 (27 TADs),A549,None
Cheng_2023_PMID36778402,4DNESTEL2MX4,sgPCBP1 targeted knockdown,Multiplexed FISH in A549-Cas9 on Chr22,A549,immortalized cells,immortalized cell line,A549,None,Viral Transduction and Viral Transduction deletion for PCBP1 gene,multiplexed FISH,5,1,1,4DNFIZUNMILA,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/5a216fff-c603-4b86-8ee9-2daecaf347e4/4DNFIZUNMILA.csv,FOF-CT - DNA-spot/trace core (csv),TAD-level,Chr22 (27 TADs),A549,None
Cheng_2023_PMID36778402,4DNES7J5VP92,137 genes knocked-down (using 404 sgRNAs and 8 sgNTC),Multiplexed FISH in A549-Cas9 on Chr22,A549,immortalized cells,immortalized cell line,A549,None,Viral Transduction and Viral Transduction,multiplexed FISH,5,1,1,4DNFIJTVPCAI,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/0e78e441-5ab7-4af5-8207-defc490ee8c6/4DNFIJTVPCAI.csv,FOF-CT - trace data (csv) | FOF-CT - DNA-spot/trace core (csv),TAD-level,Chr22 (27 TADs),A549,None
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNESFYAXQ29,widefield microscope,Multiplexed FISH of MYC locus in K562,K562,immortalized cells,immortalized cell line,K562,None,None,multiplexed FISH,3,1,1,4DNFIJ7W6T8H,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/5744b821-9b6a-47d7-b87c-71f990e08736/4DNFIJ7W6T8H.csv,FOF-CT - DNA-spot/trace core (csv),10 kb,MYC locus on chr8 (48 x 10 kb = ~480 kb),K562,None
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNESHGEXAOL,customscope microscope,Multiplexed FISH of MYC locus in K562,K562,immortalized cells,immortalized cell line,K562,None,None,multiplexed FISH,3,1,1,4DNFIXZ8ZO5B,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/498e2878-68ef-4f08-a822-2499d503fdff/4DNFIXZ8ZO5B.csv,FOF-CT - DNA-spot/trace core (csv),10 kb,MYC locus on chr8 (48 x 10 kb = ~480 kb),K562,None
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNESYYKWEGP,rTetR-DNMT3B with doxycyline treatment for 5 days + 22 day washout,Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,"doxycycline treatment (1.0 Î¼g/mL, 5.0d)",Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Stable transfection for expression of rTetR-DNMT3B,multiplexed FISH,3,3,1,4DNFIX11DLRF,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/d7a029b5-5317-455b-9206-ec6c7088cfe0/4DNFIX11DLRF.csv,FOF-CT - DNA-spot/trace core (csv),5 kb,AAVS1 locus on chr19 (19 readout steps),293T,"doxycycline treatment (1.0 μg/mL, 5.0d)"
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNESYYKWEGP,rTetR-DNMT3B with doxycyline treatment for 5 days + 22 day washout,Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,"doxycycline treatment (1.0 Î¼g/mL, 5.0d)",Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Stable transfection for expression of rTetR-DNMT3B,multiplexed FISH,3,3,2,4DNFIATSKHUH,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/8e5548a1-9141-49a8-a8a1-bd49825ba050/4DNFIATSKHUH.csv,FOF-CT - DNA-spot/trace core (csv),5 kb,AAVS1 locus on chr19 (19 readout steps),293T,"doxycycline treatment (1.0 μg/mL, 5.0d)"
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNESYYKWEGP,rTetR-DNMT3B with doxycyline treatment for 5 days + 22 day washout,Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,"doxycycline treatment (1.0 Î¼g/mL, 5.0d)",Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Stable transfection for expression of rTetR-DNMT3B,multiplexed FISH,3,3,3,4DNFIV1RLOG5,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/361d7d48-31cb-468a-8453-3ef45a40a739/4DNFIV1RLOG5.csv,FOF-CT - DNA-spot/trace core (csv),5 kb,AAVS1 locus on chr19 (19 readout steps),293T,"doxycycline treatment (1.0 μg/mL, 5.0d)"
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNESBJAGS3L,"rTetR-DNMT3B, control",Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,None,Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Stable transfection for expression of rTetR-DNMT3B,multiplexed FISH,3,3,1,4DNFIHMEK36I,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/76ab0cd7-3341-4f18-abcc-f0ede1da1858/4DNFIHMEK36I.csv,FOF-CT - DNA-spot/trace core (csv),5 kb,AAVS1 locus on chr19 (19 readout steps),293T,None
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNESBJAGS3L,"rTetR-DNMT3B, control",Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,None,Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Stable transfection for expression of rTetR-DNMT3B,multiplexed FISH,3,3,2,4DNFIYMBD4MG,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/c0ba43d3-2a75-43b7-9e44-5d4c7f6944f3/4DNFIYMBD4MG.csv,FOF-CT - DNA-spot/trace core (csv),5 kb,AAVS1 locus on chr19 (19 readout steps),293T,None
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNESBJAGS3L,"rTetR-DNMT3B, control",Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,None,Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Stable transfection for expression of rTetR-DNMT3B,multiplexed FISH,3,3,3,4DNFIN2VLJYE,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/9891d33a-1faa-4728-96f5-49427aa92d1f/4DNFIN2VLJYE.csv,FOF-CT - DNA-spot/trace core (csv),5 kb,AAVS1 locus on chr19 (19 readout steps),293T,None
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNES6V1ADE6,rTetR-HDAC4 with doxycyline treatment for 5 days,Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,"doxycycline treatment (1.0 Î¼g/mL, 5.0d)",Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Stable transfection for expression of rTetR-HDAC4,multiplexed FISH,3,3,1,4DNFIZDZQJIJ,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/be4064db-6651-4609-94e4-e2ff2a3a698f/4DNFIZDZQJIJ.csv,FOF-CT - DNA-spot/trace core (csv),5 kb,AAVS1 locus on chr19 (19 readout steps),293T,"doxycycline treatment (1.0 μg/mL, 5.0d)"
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNES6V1ADE6,rTetR-HDAC4 with doxycyline treatment for 5 days,Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,"doxycycline treatment (1.0 Î¼g/mL, 5.0d)",Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Stable transfection for expression of rTetR-HDAC4,multiplexed FISH,3,3,2,4DNFI5RL7D23,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/a779dfc9-0a4d-4ec8-bed0-b3b246cc7d78/4DNFI5RL7D23.csv,FOF-CT - DNA-spot/trace core (csv),5 kb,AAVS1 locus on chr19 (19 readout steps),293T,"doxycycline treatment (1.0 μg/mL, 5.0d)"
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNES6V1ADE6,rTetR-HDAC4 with doxycyline treatment for 5 days,Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,"doxycycline treatment (1.0 Î¼g/mL, 5.0d)",Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Stable transfection for expression of rTetR-HDAC4,multiplexed FISH,3,3,3,4DNFILI3BJ4B,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/ce3c3cc1-96cd-45a6-a92f-1d35a44442e7/4DNFILI3BJ4B.csv,FOF-CT - DNA-spot/trace core (csv),5 kb,AAVS1 locus on chr19 (19 readout steps),293T,"doxycycline treatment (1.0 μg/mL, 5.0d)"
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNES9GRE1MF,rTetR-HDAC4 with doxycyline treatment for 1 day,Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,"doxycycline treatment (1.0 Î¼g/mL, 1.0d)",Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Stable transfection for expression of rTetR-HDAC4,multiplexed FISH,3,4,1,4DNFINHNSABT,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/00c05be9-1b80-4e65-b5db-96ec13d2eed0/4DNFINHNSABT.csv,FOF-CT - DNA-spot/trace core (csv),5 kb,AAVS1 locus on chr19 (19 readout steps),293T,"doxycycline treatment (1.0 μg/mL, 1.0d)"
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNES9GRE1MF,rTetR-HDAC4 with doxycyline treatment for 1 day,Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,"doxycycline treatment (1.0 Î¼g/mL, 1.0d)",Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Stable transfection for expression of rTetR-HDAC4,multiplexed FISH,3,4,2,4DNFIPE6HK18,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/081280be-a9ac-4172-bcfd-8af704d4b65b/4DNFIPE6HK18.csv,FOF-CT - DNA-spot/trace core (csv),5 kb,AAVS1 locus on chr19 (19 readout steps),293T,"doxycycline treatment (1.0 μg/mL, 1.0d)"
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNES9GRE1MF,rTetR-HDAC4 with doxycyline treatment for 1 day,Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,"doxycycline treatment (1.0 Î¼g/mL, 1.0d)",Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Stable transfection for expression of rTetR-HDAC4,multiplexed FISH,3,4,3,4DNFI4D7DRTS,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/29c6cfd3-8545-443c-8d43-6117b484f065/4DNFI4D7DRTS.csv,FOF-CT - DNA-spot/trace core (csv),5 kb,AAVS1 locus on chr19 (19 readout steps),293T,"doxycycline treatment (1.0 μg/mL, 1.0d)"
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNES9GRE1MF,rTetR-HDAC4 with doxycyline treatment for 1 day,Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,"doxycycline treatment (1.0 Î¼g/mL, 1.0d)",Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Stable transfection for expression of rTetR-HDAC4,multiplexed FISH,3,4,4,4DNFI5US6IC7,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/73a34cb9-0d47-467e-b990-1eb22a184530/4DNFI5US6IC7.csv,FOF-CT - DNA-spot/trace core (csv),5 kb,AAVS1 locus on chr19 (19 readout steps),293T,"doxycycline treatment (1.0 μg/mL, 1.0d)"
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNESF2OVGTV,"rTetR-HDAC4, control",Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,None,Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Stable transfection for expression of rTetR-HDAC4,multiplexed FISH,3,4,1,4DNFIUQHSH6D,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/fc794fe6-6583-4e37-9ef6-d344cadfee29/4DNFIUQHSH6D.csv,FOF-CT - DNA-spot/trace core (csv),5 kb,AAVS1 locus on chr19 (19 readout steps),293T,None
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNESF2OVGTV,"rTetR-HDAC4, control",Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,None,Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Stable transfection for expression of rTetR-HDAC4,multiplexed FISH,3,4,2,4DNFIBJCVHCF,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/81adb37d-4e06-4948-a544-2d69394820e6/4DNFIBJCVHCF.csv,FOF-CT - DNA-spot/trace core (csv),5 kb,AAVS1 locus on chr19 (19 readout steps),293T,None
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNESF2OVGTV,"rTetR-HDAC4, control",Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,None,Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Stable transfection for expression of rTetR-HDAC4,multiplexed FISH,3,4,3,4DNFI9V78IGA,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/4c1aba11-cad0-474f-b177-93fe57ceccc9/4DNFI9V78IGA.csv,FOF-CT - DNA-spot/trace core (csv),5 kb,AAVS1 locus on chr19 (19 readout steps),293T,None
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNESF2OVGTV,"rTetR-HDAC4, control",Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,None,Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Stable transfection for expression of rTetR-HDAC4,multiplexed FISH,3,4,4,4DNFI8FZTU1F,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/1f1b7eab-3126-4717-b946-a62f10a97022/4DNFI8FZTU1F.csv,FOF-CT - DNA-spot/trace core (csv),5 kb,AAVS1 locus on chr19 (19 readout steps),293T,None
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNESZ2NID59,rTetR-KRAB (Y46A-mutant) with doxycyline treatment for 5 days,Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,"doxycycline treatment (1.0 Î¼g/mL, 5.0d)",Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Viral transduction insertion of mutant (Y46A) KRAB domain fused with rTetR,multiplexed FISH,3,2,1,4DNFI32XLM8H,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/88a7ece1-7b78-4395-9351-2f89741a85a2/4DNFI32XLM8H.csv,FOF-CT - DNA-spot/trace core (csv),5 kb,AAVS1 locus on chr19 (19 readout steps),293T,"doxycycline treatment (1.0 μg/mL, 5.0d)"
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNESZ2NID59,rTetR-KRAB (Y46A-mutant) with doxycyline treatment for 5 days,Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,"doxycycline treatment (1.0 Î¼g/mL, 5.0d)",Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Viral transduction insertion of mutant (Y46A) KRAB domain fused with rTetR,multiplexed FISH,3,2,2,4DNFI6SWGH7M,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/865a47f8-9dc3-4380-b1c6-0effbe1fbbd5/4DNFI6SWGH7M.csv,FOF-CT - DNA-spot/trace core (csv),5 kb,AAVS1 locus on chr19 (19 readout steps),293T,"doxycycline treatment (1.0 μg/mL, 5.0d)"
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNESCCHHMAL,rTetR-KRAB (Y46A-mutant) with doxycyline treatment for 1 day,Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,"doxycycline treatment (1.0 Î¼g/mL, 1.0d)",Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Viral transduction insertion of mutant (Y46A) KRAB domain fused with rTetR,multiplexed FISH,3,2,1,4DNFI7MS783R,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/7d886d42-5137-492d-9f63-89dc548961c3/4DNFI7MS783R.csv,FOF-CT - DNA-spot/trace core (csv),5 kb,AAVS1 locus on chr19 (19 readout steps),293T,"doxycycline treatment (1.0 μg/mL, 5.0d)"
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNESCCHHMAL,rTetR-KRAB (Y46A-mutant) with doxycyline treatment for 1 day,Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,"doxycycline treatment (1.0 Î¼g/mL, 1.0d)",Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Viral transduction insertion of mutant (Y46A) KRAB domain fused with rTetR,multiplexed FISH,3,2,2,4DNFIQMNMO3T,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/a3fa2441-7235-4a38-84af-00ed590e8c0f/4DNFIQMNMO3T.csv,FOF-CT - DNA-spot/trace core (csv),5 kb,AAVS1 locus on chr19 (19 readout steps),293T,"doxycycline treatment (1.0 μg/mL, 5.0d)"
