paper,expset_accession,condition,dataset_label,biosource,biosample_type,biosample_category,tissue,treatments_summary,modifications_summary,assay_target,imaging_rounds,num_bio_reps,bio_rep_idx,trace_core_file_accession,trace_core_url,all_fofct_types
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNES6V1ADE6,rTetR-HDAC4 with doxycyline treatment for 5 days,Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,"doxycycline treatment (1.0 μg/mL, 5.0d)",Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Stable transfection for expression of rTetR-HDAC4,multiplexed FISH,3,3,3,4DNFILI3BJ4B,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/ce3c3cc1-96cd-45a6-a92f-1d35a44442e7/4DNFILI3BJ4B.csv,FOF-CT - DNA-spot/trace core (csv)
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNES9GRE1MF,rTetR-HDAC4 with doxycyline treatment for 1 day,Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,"doxycycline treatment (1.0 μg/mL, 1.0d)",Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Stable transfection for expression of rTetR-HDAC4,multiplexed FISH,3,4,1,4DNFINHNSABT,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/00c05be9-1b80-4e65-b5db-96ec13d2eed0/4DNFINHNSABT.csv,FOF-CT - DNA-spot/trace core (csv)
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNES9GRE1MF,rTetR-HDAC4 with doxycyline treatment for 1 day,Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,"doxycycline treatment (1.0 μg/mL, 1.0d)",Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Stable transfection for expression of rTetR-HDAC4,multiplexed FISH,3,4,2,4DNFIPE6HK18,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/081280be-a9ac-4172-bcfd-8af704d4b65b/4DNFIPE6HK18.csv,FOF-CT - DNA-spot/trace core (csv)
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNES9GRE1MF,rTetR-HDAC4 with doxycyline treatment for 1 day,Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,"doxycycline treatment (1.0 μg/mL, 1.0d)",Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Stable transfection for expression of rTetR-HDAC4,multiplexed FISH,3,4,3,4DNFI4D7DRTS,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/29c6cfd3-8545-443c-8d43-6117b484f065/4DNFI4D7DRTS.csv,FOF-CT - DNA-spot/trace core (csv)
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNES9GRE1MF,rTetR-HDAC4 with doxycyline treatment for 1 day,Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,"doxycycline treatment (1.0 μg/mL, 1.0d)",Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Stable transfection for expression of rTetR-HDAC4,multiplexed FISH,3,4,4,4DNFI5US6IC7,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/73a34cb9-0d47-467e-b990-1eb22a184530/4DNFI5US6IC7.csv,FOF-CT - DNA-spot/trace core (csv)
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNESF2OVGTV,"rTetR-HDAC4, control",Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,None,Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Stable transfection for expression of rTetR-HDAC4,multiplexed FISH,3,4,1,4DNFIUQHSH6D,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/fc794fe6-6583-4e37-9ef6-d344cadfee29/4DNFIUQHSH6D.csv,FOF-CT - DNA-spot/trace core (csv)
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNESF2OVGTV,"rTetR-HDAC4, control",Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,None,Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Stable transfection for expression of rTetR-HDAC4,multiplexed FISH,3,4,2,4DNFIBJCVHCF,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/81adb37d-4e06-4948-a544-2d69394820e6/4DNFIBJCVHCF.csv,FOF-CT - DNA-spot/trace core (csv)
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNESF2OVGTV,"rTetR-HDAC4, control",Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,None,Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Stable transfection for expression of rTetR-HDAC4,multiplexed FISH,3,4,3,4DNFI9V78IGA,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/4c1aba11-cad0-474f-b177-93fe57ceccc9/4DNFI9V78IGA.csv,FOF-CT - DNA-spot/trace core (csv)
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNESF2OVGTV,"rTetR-HDAC4, control",Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,None,Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Stable transfection for expression of rTetR-HDAC4,multiplexed FISH,3,4,4,4DNFI8FZTU1F,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/1f1b7eab-3126-4717-b946-a62f10a97022/4DNFI8FZTU1F.csv,FOF-CT - DNA-spot/trace core (csv)
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNESZ2NID59,rTetR-KRAB (Y46A-mutant) with doxycyline treatment for 5 days,Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,"doxycycline treatment (1.0 μg/mL, 5.0d)",Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Viral transduction insertion of mutant (Y46A) KRAB domain fused with rTetR,multiplexed FISH,3,2,1,4DNFI32XLM8H,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/88a7ece1-7b78-4395-9351-2f89741a85a2/4DNFI32XLM8H.csv,FOF-CT - DNA-spot/trace core (csv)
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNESZ2NID59,rTetR-KRAB (Y46A-mutant) with doxycyline treatment for 5 days,Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,"doxycycline treatment (1.0 μg/mL, 5.0d)",Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Viral transduction insertion of mutant (Y46A) KRAB domain fused with rTetR,multiplexed FISH,3,2,2,4DNFI6SWGH7M,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/865a47f8-9dc3-4380-b1c6-0effbe1fbbd5/4DNFI6SWGH7M.csv,FOF-CT - DNA-spot/trace core (csv)
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNESCCHHMAL,rTetR-KRAB (Y46A-mutant) with doxycyline treatment for 1 day,Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,"doxycycline treatment (1.0 μg/mL, 1.0d)",Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Viral transduction insertion of mutant (Y46A) KRAB domain fused with rTetR,multiplexed FISH,3,2,1,4DNFI7MS783R,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/7d886d42-5137-492d-9f63-89dc548961c3/4DNFI7MS783R.csv,FOF-CT - DNA-spot/trace core (csv)
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNESCCHHMAL,rTetR-KRAB (Y46A-mutant) with doxycyline treatment for 1 day,Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,"doxycycline treatment (1.0 μg/mL, 1.0d)",Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Viral transduction insertion of mutant (Y46A) KRAB domain fused with rTetR,multiplexed FISH,3,2,2,4DNFIQMNMO3T,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/a3fa2441-7235-4a38-84af-00ed590e8c0f/4DNFIQMNMO3T.csv,FOF-CT - DNA-spot/trace core (csv)
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNESSJVX5YK,"rTetR-KRAB (Y46A-mutant), control",Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,None,Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Viral transduction insertion of mutant (Y46A) KRAB domain fused with rTetR,multiplexed FISH,3,2,1,4DNFIV9XXWNM,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/6bdd2ff1-e7c0-4ee1-8af2-e5edb3a7fe4d/4DNFIV9XXWNM.csv,FOF-CT - DNA-spot/trace core (csv)
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNESSJVX5YK,"rTetR-KRAB (Y46A-mutant), control",Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,None,Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Viral transduction insertion of mutant (Y46A) KRAB domain fused with rTetR,multiplexed FISH,3,2,2,4DNFIZPBCBL6,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/cd2acb28-be33-4a2b-94c7-b07b9a772c1b/4DNFIZPBCBL6.csv,FOF-CT - DNA-spot/trace core (csv)
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNESF84FBJO,rTetR-KRAB (EEW25AAA-mutant) with doxycyline treatment for 5 days,Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,"doxycycline treatment (1.0 μg/mL, 5.0d)",Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Viral transduction insertion of mutant (EEW25AAA) KRAB domain fused with rTetR,multiplexed FISH,3,2,1,4DNFIJW1FZ6G,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/98f2a106-5eb8-4cba-b7d7-5d62b39789c5/4DNFIJW1FZ6G.csv,FOF-CT - DNA-spot/trace core (csv)
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNESF84FBJO,rTetR-KRAB (EEW25AAA-mutant) with doxycyline treatment for 5 days,Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,"doxycycline treatment (1.0 μg/mL, 5.0d)",Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Viral transduction insertion of mutant (EEW25AAA) KRAB domain fused with rTetR,multiplexed FISH,3,2,2,4DNFI3T4D4BG,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/94b62721-7226-462b-b5cb-f9f029954478/4DNFI3T4D4BG.csv,FOF-CT - DNA-spot/trace core (csv)
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNES2UUTKRG,rTetR-KRAB (EEW25AAA-mutant) with doxycyline treatment for 1 day,Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,"doxycycline treatment (1.0 μg/mL, 1.0d)",Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Viral transduction insertion of mutant (EEW25AAA) KRAB domain fused with rTetR,multiplexed FISH,3,2,1,4DNFIYVFE7C3,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/595844a4-2f46-4e8a-b9d7-26fed1ea22dd/4DNFIYVFE7C3.csv,FOF-CT - DNA-spot/trace core (csv)
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNES2UUTKRG,rTetR-KRAB (EEW25AAA-mutant) with doxycyline treatment for 1 day,Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,"doxycycline treatment (1.0 μg/mL, 1.0d)",Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Viral transduction insertion of mutant (EEW25AAA) KRAB domain fused with rTetR,multiplexed FISH,3,2,2,4DNFID3BWBT3,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/d25898cc-6a81-4af2-b26b-0eb995b016f2/4DNFID3BWBT3.csv,FOF-CT - DNA-spot/trace core (csv)
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNESZNP8GRK,"rTetR-KRAB (EEW25AAA-mutant), negative control",Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,None,Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Viral transduction insertion of mutant (EEW25AAA) KRAB domain fused with rTetR,multiplexed FISH,3,2,1,4DNFIYY2FY43,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/f95a8f27-d254-45c9-8fa5-9877c23fc6a7/4DNFIYY2FY43.csv,FOF-CT - DNA-spot/trace core (csv)
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNESZNP8GRK,"rTetR-KRAB (EEW25AAA-mutant), negative control",Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,None,Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Viral transduction insertion of mutant (EEW25AAA) KRAB domain fused with rTetR,multiplexed FISH,3,2,2,4DNFIDCBFKH1,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/9018e28a-4c50-48ca-88d6-a5e4c89072df/4DNFIDCBFKH1.csv,FOF-CT - DNA-spot/trace core (csv)
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNESY7MOKC6,rTetR-KRAB (wildtype) with doxycyline treatment for 5 days + 22 days washout (mCitrine reporter OFF),Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,"doxycycline treatment (1.0 μg/mL, 5.0d)",Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Viral transduction insertion of wild type KRAB domain fused with rTetR,multiplexed FISH,3,6,1,4DNFIOAJSVA5,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/00272958-1455-4c83-af08-72b52cb3c2b3/4DNFIOAJSVA5.csv,FOF-CT - DNA-spot/trace core (csv)
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNESY7MOKC6,rTetR-KRAB (wildtype) with doxycyline treatment for 5 days + 22 days washout (mCitrine reporter OFF),Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,"doxycycline treatment (1.0 μg/mL, 5.0d)",Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Viral transduction insertion of wild type KRAB domain fused with rTetR,multiplexed FISH,3,6,2,4DNFIR9AAUEM,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/f4e89f0d-6e65-4956-a136-2c86fcf43f48/4DNFIR9AAUEM.csv,FOF-CT - DNA-spot/trace core (csv)
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNESY7MOKC6,rTetR-KRAB (wildtype) with doxycyline treatment for 5 days + 22 days washout (mCitrine reporter OFF),Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,"doxycycline treatment (1.0 μg/mL, 5.0d)",Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Viral transduction insertion of wild type KRAB domain fused with rTetR,multiplexed FISH,3,6,3,4DNFIR9UR7AU,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/c9052cbc-e54d-4995-b1f3-cd2cdb6c5b47/4DNFIR9UR7AU.csv,FOF-CT - DNA-spot/trace core (csv)
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNESY7MOKC6,rTetR-KRAB (wildtype) with doxycyline treatment for 5 days + 22 days washout (mCitrine reporter OFF),Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,"doxycycline treatment (1.0 μg/mL, 5.0d)",Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Viral transduction insertion of wild type KRAB domain fused with rTetR,multiplexed FISH,3,6,4,4DNFIFO6FLJ7,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/fe36d728-d24a-498e-9260-dbeb9452d422/4DNFIFO6FLJ7.csv,FOF-CT - DNA-spot/trace core (csv)
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNESY7MOKC6,rTetR-KRAB (wildtype) with doxycyline treatment for 5 days + 22 days washout (mCitrine reporter OFF),Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,"doxycycline treatment (1.0 μg/mL, 5.0d)",Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Viral transduction insertion of wild type KRAB domain fused with rTetR,multiplexed FISH,3,6,5,4DNFIXVOWBPU,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/a5a04e58-f542-40d2-8d3a-2a505ba97926/4DNFIXVOWBPU.csv,FOF-CT - DNA-spot/trace core (csv)
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNESY7MOKC6,rTetR-KRAB (wildtype) with doxycyline treatment for 5 days + 22 days washout (mCitrine reporter OFF),Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,"doxycycline treatment (1.0 μg/mL, 5.0d)",Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Viral transduction insertion of wild type KRAB domain fused with rTetR,multiplexed FISH,3,6,6,4DNFI55SPF4U,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/a37724d5-5b62-460c-a8cd-b6a1fc2a2ac5/4DNFI55SPF4U.csv,FOF-CT - DNA-spot/trace core (csv)
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNESW6MXLZO,rTetR-KRAB (wildtype) with doxycyline treatment for 5 days + 22 days washout (mCitrine reporter ON),Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,"doxycycline treatment (1.0 μg/mL, 5.0d)",Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Viral transduction insertion of wild type KRAB domain fused with rTetR,multiplexed FISH,3,4,1,4DNFIEH51PI6,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/3b5c8cf2-7869-4d3d-a61c-ab60a9c4b88d/4DNFIEH51PI6.csv,FOF-CT - DNA-spot/trace core (csv)
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNESW6MXLZO,rTetR-KRAB (wildtype) with doxycyline treatment for 5 days + 22 days washout (mCitrine reporter ON),Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,"doxycycline treatment (1.0 μg/mL, 5.0d)",Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Viral transduction insertion of wild type KRAB domain fused with rTetR,multiplexed FISH,3,4,2,4DNFIFZ4J6E2,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/859e3523-79a9-45d8-ae71-583f0e6ed927/4DNFIFZ4J6E2.csv,FOF-CT - DNA-spot/trace core (csv)
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNESW6MXLZO,rTetR-KRAB (wildtype) with doxycyline treatment for 5 days + 22 days washout (mCitrine reporter ON),Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,"doxycycline treatment (1.0 μg/mL, 5.0d)",Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Viral transduction insertion of wild type KRAB domain fused with rTetR,multiplexed FISH,3,4,3,4DNFIDZFP4YT,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/7eaa2f30-25cc-4e38-8ab3-edd670e4972f/4DNFIDZFP4YT.csv,FOF-CT - DNA-spot/trace core (csv)
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNESW6MXLZO,rTetR-KRAB (wildtype) with doxycyline treatment for 5 days + 22 days washout (mCitrine reporter ON),Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,"doxycycline treatment (1.0 μg/mL, 5.0d)",Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Viral transduction insertion of wild type KRAB domain fused with rTetR,multiplexed FISH,3,4,4,4DNFI1KPDOWY,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/8ef8c613-d59c-4930-afd3-7f7be6839bf1/4DNFI1KPDOWY.csv,FOF-CT - DNA-spot/trace core (csv)
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNES39PM3GJ,rTetR-KRAB (wildtype) with doxycyline treatment for 5 days,Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,"doxycycline treatment (1.0 μg/mL, 5.0d)",Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Viral transduction insertion of mutant (Y46A) KRAB domain fused with rTetR,multiplexed FISH,3,5,1,4DNFIE3G7KIE,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/489ec310-83e7-4f59-86f9-13a2ad9e1aa5/4DNFIE3G7KIE.csv,FOF-CT - DNA-spot/trace core (csv)
